Name,Budget,Gross_US,Opening_Week,Open_Week_Date,Gross_World
Dune: Part Two,190000000,282144358,82505391,3/3/2024 0:00,711844358
Road House,0,0,0,1/1/1900 0:00,0
The Beekeeper,40000000,66220535,16576007,1/14/2024 0:00,152720535
Damsel,0,0,0,1/1/1900 0:00,0
Civil War,50000000,68105320,25537368,4/14/2024 0:00,113212647
Argylle,200000000,45207275,17473540,2/4/2024 0:00,96175012
The Fall Guy,130000000,73891385,27747035,5/5/2024 0:00,145506385
Madame Web,80000000,43817106,15335860,2/18/2024 0:00,100298817
Godzilla x Kong: The New Empire,135000000,195501633,80006561,3/31/2024 0:00,564801633
Challengers,55000000,46797000,15011061,4/28/2024 0:00,81897000
Murder Mubarak,0,0,0,1/1/1900 0:00,0
Teri Baaton Mein Aisa Uljha Jiya,0,0,0,1/1/1900 0:00,0
Monkey Man,10000000,25116955,10119435,4/7/2024 0:00,34500465
Fighter,250000000,1000000,1000000,1/28/2024 0:00,3800771
Ghostbusters: Frozen Empire,100000000,112740000,45004673,3/24/2024 0:00,200279314
Shaitaan,0,0,0,1/1/1900 0:00,0
Rebel Moon - Part Two: The Scargiver,0,0,0,1/1/1900 0:00,0
Ricky Stanicky,0,0,0,1/1/1900 0:00,0
Kung Fu Panda 4,85000000,193340365,57989905,3/10/2024 0:00,539305365
Lift,0,0,0,1/1/1900 0:00,0
Color of Victory,0,0,0,1/1/1900 0:00,0
Kingdom of the Planet of the Apes,160000000,126549252,58400788,5/12/2024 0:00,298549252
The Idea of You,0,0,0,1/1/1900 0:00,0
Abigail,28000000,25851000,10297110,4/21/2024 0:00,40915000
Bade Miyan Chote Miyan,350000000,689505,493782,4/14/2024 0:00,2634645
Spaceman,0,0,0,1/1/1900 0:00,0
The Ministry of Ungentlemanly Warfare,60000000,20504850,8913698,4/21/2024 0:00,24245355
Madgaon Express,0,0,0,1/1/1900 0:00,0
Mean Girls,36000000,72404248,28635307,1/14/2024 0:00,104404248
Furiosa: A Mad Max Saga,168000000,25500000,25500000,5/26/2024 0:00,58800000
Crew,0,0,0,1/1/1900 0:00,0
Merry Christmas,0,0,0,1/1/1900 0:00,0
Immaculate,9000000,15671307,5338921,3/24/2024 0:00,23857069
Hanu Man,0,0,0,1/1/1900 0:00,0
Bob Marley: One Love,0,0,0,1/1/1900 0:00,0
Love Lies Bleeding,0,0,0,1/1/1900 0:00,0
Unfrosted,0,0,0,1/1/1900 0:00,0
Land of Bad,25000000,4620045,1840510,2/18/2024 0:00,6921385
Upgraded,0,0,0,1/1/1900 0:00,0
Guntur Kaaram,0,0,0,1/1/1900 0:00,0
Article 370,0,0,0,1/1/1900 0:00,0
Night Swim,22000000,32494740,11797155,1/7/2024 0:00,54075969
Lisa Frankenstein,13000000,9774285,3695785,2/11/2024 0:00,9927714
Now or Never!,0,0,0,1/1/1900 0:00,0
Role Play,0,0,0,1/1/1900 0:00,0
Irish Wish,0,0,0,1/1/1900 0:00,0
Scoop,0,0,0,1/1/1900 0:00,0
Manjummel Boys,0,0,0,1/1/1900 0:00,0
Maidaan,0,0,0,1/1/1900 0:00,0
The First Omen,30000000,20104637,8353710,4/7/2024 0:00,53630386
